login,commits_in_window,merged_prs_in_window,bucket
wagnerfs,2,1,Occasional
wakeofluna,1,1,Newcomer
wareya,2,1,Occasional
westenral,1,1,Newcomer
wheatear-dev,5,6,Occasional
wjt,1,1,Occasional
wlsnmrk,1,1,Occasional
wyvrtn,1,1,Newcomer
xsellier,1,1,Occasional
xuhuisheng,1,1,Newcomer
yahkr,5,5,Occasional
yangyey,1,1,Newcomer
yannlemos,1,1,Newcomer
ydeltastar,13,12,Occasional
yeojunh,1,1,Newcomer
yosoyfreeman,1,1,Newcomer
yotam-frid,1,1,Newcomer
youngminz,2,2,Newcomer
yuantianle,1,1,Newcomer
ywmaa,1,0,Occasional
zachseiss,0,1,Newcomer
zaevi,10,10,Occasional
ze2j,3,2,Occasional
zenorbi,0,1,Newcomer
zeux,11,11,Occasional
zlago,1,1,Newcomer
zmn-hamid,1,1,Newcomer
zodiepupper,1,1,Newcomer
zorbathut,1,1,Occasional
ztc0611,1,1,Occasional
zynga-jpetersen,1,1,Newcomer

[Dormant users]
0010200303,0,0,Dormant
0And,0,0,Dormant
0SAITO5,0,0,Dormant
0awful,0,0,Dormant
0joshuaolson1,0,0,Dormant
0nepixel,0,0,Dormant
0shine0,0,0,Dormant
0x4448,0,0,Dormant
0xYujan,0,0,Dormant
10Drenth,0,0,Dormant
11thPenguin,0,0,Dormant
19PHOBOSS98,0,0,Dormant
1abinitio1,0,0,Dormant
1ace,0,0,Dormant
1joaodurao1,0,0,Dormant
21dhruvp,0,0,Dormant
27thLiz,0,0,Dormant
29jm,0,0,Dormant
2bit-hack,0,0,Dormant
2nafish117,0,0,Dormant
2shady4u,0,0,Dormant
31,0,0,Dormant
346184,0,0,Dormant
398utubzyt,0,0,Dormant
3akev,0,0,Dormant
3deathtoll,0,0,Dormant
3dnikita,0,0,Dormant
3top1a,0,0,Dormant
40-4,0,0,Dormant
44zb,0,0,Dormant
648trindade,0,0,Dormant
64epicks,0,0,Dormant
7lele,0,0,Dormant
8thMage,0,0,Dormant
98teg,0,0,Dormant
999eagle,0,0,Dormant
99alfie,0,0,Dormant
A-Lamia,0,0,Dormant
A-Machynak,0,0,Dormant
ACDouble,0,0,Dormant
ADeeds,0,0,Dormant
AMS21,0,0,Dormant
ANamelessGhoul,0,0,Dormant
ARez2,0,0,Dormant
ASantana0924,0,0,Dormant
ASavchenkov,0,0,Dormant
Aa20475,0,0,Dormant
AaronOldenburg,0,0,Dormant
AaronRecord,0,0,Dormant
Abdul-AZ,0,0,Dormant
AbelToy,0,0,Dormant
AbeniMatteo,0,0,Dormant
AberrantWolf,0,0,Dormant
Abstract-Everything,0,0,Dormant
AcatXIo,0,0,Dormant
Acclution,0,0,Dormant
Acvarium,0,0,Dormant
Acytra,0,0,Dormant
AdSkipper1337,0,0,Dormant
AdamLearns,0,0,Dormant
Ademan,0,0,Dormant
AdeptusForge,0,0,Dormant
Adi9,0,0,Dormant
Adinimys,0,0,Dormant
Adjective-Object,0,0,Dormant
Adrian-Samoticha,0,0,Dormant
Adriankhl,0,0,Dormant
Agaanii,0,0,Dormant
AgentEnder,0,0,Dormant
Aibat777,0,0,Dormant
AinaSG,0,0,Dormant
AinaVT,0,0,Dormant
Aishengmin,0,0,Dormant
Ajaytandon896,0,0,Dormant
Akylzhan,0,0,Dormant
Al-p-i,0,0,Dormant
AlaraBread,0,0,Dormant
AlbertFay,0,0,Dormant
Alcamez,0,0,Dormant
AleCamara,0,0,Dormant
AlekseyKapustyanenko,0,0,Dormant
AleryBerry,0,0,Dormant
Alex-Mayo,0,0,Dormant
Alex-doc,0,0,Dormant
AlexAlappsis,0,0,Dormant
AlexDarigan,0,0,Dormant
AlexHCC,0,0,Dormant
AlexHolly,0,0,Dormant
AlexHoratio,0,0,Dormant
AlexMitchellMus,0,0,Dormant
AlexOtsuka,0,0,Dormant
AlexRixhardson,0,0,Dormant
AlexSabourinDev,0,0,Dormant
Alexander-Alekseev,0,0,Dormant
AlexanderFarkas,0,0,Dormant
AlexanderPruss,0,0,Dormant
AlexeyBond,0,0,Dormant
Algorithmus,0,0,Dormant
Algrin6,0,0,Dormant
AllanDaemon,0,0,Dormant
AlmightyLaxz,0,0,Dormant
AlmostBearded,0,0,Dormant
AlphaOneProject,0,0,Dormant
Althar93,0,0,Dormant
AlvaroEMatos,0,0,Dormant
Amir-Rasteg,0,0,Dormant
Amssat221,0,0,Dormant
AmyGilhespy,0,0,Dormant
AnaDenisa,0,0,Dormant
Anarchid,0,0,Dormant
Anchakor,0,0,Dormant
AndersonMartins1,0,0,Dormant
Andre-Tita,0,0,Dormant
AndreSacilotto,0,0,Dormant
AndreVallestero,0,0,Dormant
AndreaCatania,0,0,Dormant
AndreaTerenz,0,0,Dormant
AndreevAndrei,0,0,Dormant
AndreiPetrov890,0,0,Dormant
Andrettin,0,0,Dormant
Andy0903,0,0,Dormant
AndyBarcia,0,0,Dormant
AngelOnFira,0,0,Dormant
Angeloss,0,0,Dormant
AnilBK,0,0,Dormant
Animtim,0,0,Dormant
Anshul7sp1,0,0,Dormant
AnthonyYoManz,0,0,Dormant
AntiSC2,0,0,Dormant
AntohaRDNS,0,0,Dormant
Antokolos,0,0,Dormant
AntonioDell,0,0,Dormant
Antypurus,0,0,Dormant
Anukriti12,0,0,Dormant
Anutrix,0,0,Dormant
Araraura,0,0,Dormant
ArcadeDoug,0,0,Dormant
ArceusMaxis,0,0,Dormant
ArchieVillain,0,0,Dormant
ArdaE,0,0,Dormant
Arech,0,0,Dormant
Arecher,0,0,Dormant
Arivval,0,0,Dormant
Ark2000,0,0,Dormant
ArkDShiggy,0,0,Dormant
